Generation,Current_A,Voltage_V,GasFlow_Lmin,Speed_mms,ArcEfficiency,Hardness_BHN,YieldStrength_MPa,Elongation_Pct,TensileStrength_MPa,ShearStress_MPa,ImpactEnergy_J,Cost
1,227.170544927489,18.215119008289,14.2902224704042,109.280882441274,2833.16603417019,299.474467607619,308.961508620423,30.2426170012952,488.056508636381,428.358554560539,121.34869083047,0.29729069189876
2,226.941191765748,18.2394252206259,14.3247024107015,109.846887084016,2823.68023647023,299.029843209486,309.259839397274,30.2974059423022,488.652168076063,429.237983474653,121.305145681306,0.293457057570585
3,226.941191765748,18,14.3247024107015,109.846887084016,2861.23914000323,300.000974583959,310.571136996482,30.1549548763831,488.419912130244,428.356030956242,120.780328863179,0.289523862897542
4,225.279170085555,18.2851502742579,16,110.247283433304,2775.51475996803,305.1208860263,315.428717672149,31.2481643316818,494.939104835694,439.629256802324,126.026628665131,0.131223253531211
5,226.735822854051,18.2363875372162,16,110.353702671877,2819.04150481501,306.691462555704,316.70876507785,31.4031203565591,496.207569082392,442.933122423664,127.029894093231,0.0947240015660631
6,227.099055401365,18.1605194627472,16,111.882730299045,2839.89569075853,306.56221324073,316.7289880379,31.4855765856698,496.466273650207,443.320618506945,127.343450715004,0.0922266529067549
7,226.735822854051,18,16,110.353702671877,2856.0629647391,306.943177960041,317.168004892565,31.5342479853703,496.691500257372,443.984734896415,127.464945480582,0.0820821159732235
8,226.787308422266,18,15.9737242109592,110.411115195098,2857.36018118977,307.253104702531,317.024689936059,31.5489875552532,496.521376434971,443.498378119059,127.678335500241,0.0810905669655567
9,230,18.1915235338893,15.9036867343686,111.113646843172,2907.94775387844,308.163584499978,318.265811676485,31.6865906349889,497.997688680573,446.37897945564,128.602358855703,0.0500005484411954
10,230,18.1803693600126,15.9820746288874,110.46092301236,2909.7318625634,308.643624840714,318.654782578799,31.7707841934524,498.438216307217,447.033716108002,128.794729797468,0.0379872482769098
11,230,18.0226515541477,15.9325956626618,110.686838241006,2935.19518152287,309.302185783028,319.24316874629,31.8680778407255,499.104627504369,448.529421302065,129.345458209231,0.0210135543459921
12,230,18.0226515541477,15.9325956626618,110.686838241006,2935.19518152287,309.212360459307,319.271311921112,31.8813029852263,499.117471630715,448.406310629689,129.353224493679,0.0210135543459921
13,229.600539760333,18,15.9749684212118,110.493369133497,2928.68932545757,309.464387080435,319.460323139412,31.8970340120064,499.366657929597,448.709272319809,129.478560629141,0.0164094024522829
14,229.600539760333,18,15.9749684212118,110.493369133497,2928.68932545757,309.382820323446,319.400309724342,31.8980046067056,499.302267747995,448.812737675288,129.531543197935,0.0164094024522822
15,229.600539760333,18,15.9749684212118,110.493369133497,2928.68932545757,309.404626233096,319.456066786058,31.9063167679421,499.296027334953,448.764626136631,129.540512667997,0.0164094024522822
16,229.600539760333,18,15.9749684212118,110.493369133497,2928.68932545757,309.446196131426,319.406250130159,31.8976747746818,499.369216968828,448.854230908053,129.483069832679,0.0164094024522822
17,229.675975290746,18.0059325065399,15.9665373212576,110.522775652145,2929.64852592864,309.450608598706,319.40801778742,31.8950677380214,499.363594352865,448.795565059965,129.518917957343,0.0163994198929662
18,230,18,15.9716281941484,110.532643911465,2938.88888888889,309.499505768356,319.517595261887,31.9169255825132,499.467437280181,448.957919297957,129.583411974751,0.0141307622826069
19,230,18,15.9716281941484,110.532643911465,2938.88888888889,309.469044902366,319.531995477556,31.9148782744225,499.40508937573,448.899727480012,129.547894176053,0.0141307622826065
20,230,18.0008309583495,15.9836806520254,110.539935254303,2938.75322324844,309.525501908096,319.530145872271,31.9218788104531,499.442569918734,448.901111478367,129.609894252197,0.0137706836354607
21,229.991097096485,18.000012876125,16,110.534134913255,2938.65927250559,309.556121937193,319.542012400786,31.9235567665669,499.471594026212,448.997112565006,129.617463691017,0.0133552278588603
22,230,18.0003746951106,16,110.533935007374,2938.82771309028,309.562802375152,319.564889950871,31.9257864604777,499.443845100157,448.979027482363,129.612347163579,0.0133485855400219
23,230,18.0000032604172,16,110.529152587287,2938.88835655544,309.56990975031,319.510910258725,31.925409879691,499.437447850572,449.063515417449,129.609377851081,0.0132288146982373
24,230,18.0000032604172,16,110.529152587287,2938.88835655544,309.527835885768,319.561279762348,31.9249759087215,499.437043496849,449.074063393395,129.574282566466,0.0132288146982373
25,230,18.0000032604172,16,110.529152587287,2938.88835655544,309.522605656486,319.54478245517,31.9247841598852,499.481848163595,449.007522631695,129.628235653363,0.0132288146982373
